experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E4,local,1007,local,dubins,dubins,dubins,weighted_delay,20,3,1951.1481792903378,19.70856746757917,26.30710474434514,17.054677553807824,79.86790835611512,160.62753541763587,85.7842610780996,10,0.07417229999919073,0.050462399996831664,0.005046239999683166,0.011024600000382634,0.12463469999602239,9,14,True,True,0.1276216000005661,ea69d165b54222d53244e69b6ef8594befc6149189a269a0f745eaab4c35bcd9
E4,no_reorder,1008,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1857.5931475957707,19.76162922974224,28.450124694527478,13.295256172352776,89.94002809271468,176.20656934076146,79.08222261045597,10,0.05391019999842683,0.009941700001945719,0.000994170000194572,0.0017769000005500857,0.06385190000037255,0,0,True,True,0.06693520000044373,130410a7df0436f226a401880941e077afad804faf45245d2c0e49964e8989a7
E4,full,1008,full,dubins,dubins,dubins,weighted_delay,20,3,1809.24686020484,19.247307023455743,26.96903352147059,13.498625965504738,74.16747916216457,163.49986420522217,79.08222261045597,10,0.052138299999569426,0.2435788999991928,0.02435788999991928,0.07324499999958789,0.2957171999987622,18,28,True,True,0.29937950000021374,130410a7df0436f226a401880941e077afad804faf45245d2c0e49964e8989a7
E4,local,1008,local,dubins,dubins,dubins,weighted_delay,20,3,1809.24686020484,19.247307023455743,26.96903352147059,13.498625965504738,74.16747916216457,163.49986420522217,79.08222261045597,10,0.05579880000004778,0.060748899997634,0.0060748899997634,0.015075299999807612,0.11654769999768178,5,12,True,True,0.11993780000011611,130410a7df0436f226a401880941e077afad804faf45245d2c0e49964e8989a7
E4,no_reorder,1009,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1849.0956883604908,17.61043512724277,21.81142912853309,15.679856367707348,76.22832489864496,170.3194387483722,74.35072124314618,10,0.06440909999946598,0.004826799997317721,0.0004826799997317721,0.0010296999989805045,0.0692358999967837,0,0,True,True,0.07217249999848718,59d5fc10227424859a17932f916a88e8931935be60d343322b2bef07f5be18c9
E4,full,1009,full,dubins,dubins,dubins,weighted_delay,20,3,1757.8872477825432,16.741783312214697,19.521503331299147,15.540591740243647,75.23793605495695,154.59053063538533,74.35072124314618,10,0.07141440000123112,0.0432280000004539,0.004322800000045391,0.013622299999042298,0.11464240000168502,9,6,True,True,0.11835699999937788,59d5fc10227424859a17932f916a88e8931935be60d343322b2bef07f5be18c9
E4,local,1009,local,dubins,dubins,dubins,weighted_delay,20,3,1801.8896278463014,17.160853598536203,20.383994594323056,15.57445543248398,73.38418156514842,169.00540959531133,74.35072124314618,10,0.07173409999995783,0.01944280000316212,0.001944280000316212,0.004448400000910624,0.09117690000311995,2,2,True,True,0.09421510000174749,59d5fc10227424859a17932f916a88e8931935be60d343322b2bef07f5be18c9
E4,no_reorder,1010,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,3253.3318681855053,23.23808477275361,25.50250760607658,21.008227065909658,82.48309983853713,193.04678741924155,88.76461610302128,10,0.051246099999843864,0.006778099999792175,0.0006778099999792175,0.0015125000008993084,0.05802419999963604,0,0,True,True,0.060749399999622256,1869ca5c28bbda9783a20b243d73b3d93d0c9dc2e12806f72db45732b060479d
E4,full,1010,full,dubins,dubins,dubins,weighted_delay,20,3,3175.9296020961465,22.685211443543903,25.121545531844056,20.237213164362664,84.63118817303851,187.4517518973709,88.76461610302128,10,0.047708500000226195,0.11465690000295581,0.01146569000029558,0.03628759999992326,0.162365400003182,12,12,True,True,0.16524550000031013,1869ca5c28bbda9783a20b243d73b3d93d0c9dc2e12806f72db45732b060479d
E4,local,1010,local,dubins,dubins,dubins,weighted_delay,20,3,3175.9296020961465,22.685211443543903,25.121545531844056,20.237213164362664,84.63118817303851,187.4517518973709,88.76461610302128,10,0.048838000000614556,0.04145580000295013,0.0041455800002950126,0.012350699998933123,0.09029380000356468,9,8,True,True,0.09326180000061868,1869ca5c28bbda9783a20b243d73b3d93d0c9dc2e12806f72db45732b060479d
E4,no_reorder,1011,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1682.5161354024185,17.899107823429983,23.358978576449186,13.339348306544622,75.2120494656508,162.44547969706548,79.67199630422755,10,0.05774380000002566,0.006478799998149043,0.0006478799998149043,0.0017416000009689014,0.0642225999981747,0,0,True,True,0.0671701999999641,84e1ef84e26c149f9976481e51b4d6bcd4ca3f787ac6e8c54689347ecc9d2b53
E4,full,1011,full,dubins,dubins,dubins,weighted_delay,20,3,1671.4721485295104,17.78161860137777,23.324552433323852,12.622762068067107,73.52380202813667,159.0993118478421,79.67199630422755,10,0.06911939999918104,0.10703969999667606,0.010703969999667606,0.035223999999288935,0.1761590999958571,15,12,True,True,0.17935639999996056,84e1ef84e26c149f9976481e51b4d6bcd4ca3f787ac6e8c54689347ecc9d2b53
E4,local,1011,local,dubins,dubins,dubins,weighted_delay,20,3,1646.6577110958906,17.517635224424367,23.435682997639375,13.835358399838455,73.27531578482846,164.59555890584008,79.67199630422755,10,0.06038260000059381,0.030566200004614075,0.0030566200004614073,0.010661000000254717,0.09094880000520789,5,4,True,True,0.09413750000021537,84e1ef84e26c149f9976481e51b4d6bcd4ca3f787ac6e8c54689347ecc9d2b53
E4,no_reorder,1012,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1786.9802586669543,19.010428283691002,22.449793613425964,15.683822474027066,74.75346689279888,169.79193426006012,76.45062799188557,10,0.10998970000036934,0.00460170000224025,0.000460170000224025,0.0008568000012019183,0.11459140000260959,0,0,True,True,0.11762170000110928,5aa74fa4f62493624adc083d7764a9479d1906f1685d15b69cc5c48ea98be7dc
E4,full,1012,full,dubins,dubins,dubins,weighted_delay,20,3,1712.6848536703542,18.220051634791,21.978938676727147,14.956002999806545,76.94641093057926,177.03115169787205,76.45062799188557,10,0.09064070000022184,0.035095999997793115,0.0035095999997793114,0.008154299999659997,0.12573669999801496,7,3,True,True,0.1285654000002978,5aa74fa4f62493624adc083d7764a9479d1906f1685d15b69cc5c48ea98be7dc
E4,local,1012,local,dubins,dubins,dubins,weighted_delay,20,3,1714.782138140936,18.242363171712086,21.73830817710193,14.956002999806545,79.38957483154292,172.91973869995098,76.45062799188557,10,0.08954860000085318,0.01929030000428611,0.001929030000428611,0.0056435999995301245,0.1088389000051393,4,3,True,True,0.11203430000023218,5aa74fa4f62493624adc083d7764a9479d1906f1685d15b69cc5c48ea98be7dc
E4,no_reorder,1013,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2109.5163871970476,19.35336135043163,23.770847415965868,15.60606437503902,72.48665225028562,165.7437004372104,76.36630151274245,10,0.0634684999986348,0.007806599996911245,0.0007806599996911245,0.002464400000462774,0.07127509999554604,0,0,True,True,0.07418789999974251,ccf8aa59af2d36542617beb6743dc515a8699a45c84e583f1ce89d37960154f2
