experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E2_v2,distance_oriented,1015,local,dubins,dubins,dubins,total_travel_time,20,3,9802.553585632146,81.68794654693455,81.87491463973159,78.82523520391364,199.29374250874616,116.25663465656406,83.0371078521821,1,20,20,10,0.07096530000126222,0.31321440000101575,0.03132144000010158,0.04480590000093798,0.38417970000227797,0,34,True,True,0.38784970000051544,082327ff86e78dc801d3de3348edd45a8681c49616b965751f7f852f4b1a5869
E2_v2,time_aware,1016,local,dubins,dubins,dubins,weighted_delay,20,3,2946.340067420632,22.491145552829252,28.286556217202815,19.401320843305545,89.73351898698142,157.99283094345296,88.9418880002415,3,7,6,10,0.062000100000659586,0.11038939999707509,0.011038939999707509,0.024731399998927373,0.17238949999773467,10,18,True,True,0.17547390000072483,8949ff6dab91c6d68f83a81a44011aca1c33902b4a6ee29250d25aff197c6caf
E2_v2,mission_completion,1016,local,dubins,dubins,dubins,makespan,20,3,3329.510494388791,25.416110644189242,29.36596484815043,24.64494251588673,92.41253927427279,163.1214557626956,88.9418880002415,3,7,6,10,0.09355090000099153,0.08760159999656025,0.008760159999656025,0.015960700000505312,0.18115249999755179,11,20,True,True,0.18457560000024387,8949ff6dab91c6d68f83a81a44011aca1c33902b4a6ee29250d25aff197c6caf
E2_v2,distance_oriented,1016,local,dubins,dubins,dubins,total_travel_time,20,3,10887.923757426699,83.11392181241754,85.76366290973966,87.82273560623166,187.89507043744572,98.95318243720426,88.9418880002415,1,20,20,10,0.04114149999986694,0.3706973000007565,0.03706973000007565,0.05274949999875389,0.41183880000062345,0,6,True,True,0.4158419999985199,8949ff6dab91c6d68f83a81a44011aca1c33902b4a6ee29250d25aff197c6caf
E2_v2,time_aware,1017,local,dubins,dubins,dubins,weighted_delay,20,3,2828.040274386991,24.171284396470007,30.842056944409524,15.888105184939072,91.36918889673285,163.41807513102873,88.75922744057918,3,7,6,10,0.11035230000015872,0.11394189999737137,0.011394189999737136,0.027113299998745788,0.22429419999753009,12,28,True,True,0.22757869999986724,72341d894d303a21a7b7385423f3ed5c4250929c5dc473e72e4685146eeb4826
E2_v2,mission_completion,1017,local,dubins,dubins,dubins,makespan,20,3,3719.9046418484077,31.794056767935107,27.71149720813629,37.74881776771448,81.43535398966196,140.7715488497083,88.75922744057918,3,7,6,10,0.08792580000044836,0.0852054000042699,0.00852054000042699,0.018217599999843515,0.17313120000471827,7,16,True,True,0.17620370000076946,72341d894d303a21a7b7385423f3ed5c4250929c5dc473e72e4685146eeb4826
E2_v2,distance_oriented,1017,local,dubins,dubins,dubins,total_travel_time,20,3,10879.99552771745,92.99141476681582,84.82847209583566,93.41679125888105,196.64445481463247,107.88522737405333,88.75922744057918,1,20,20,10,0.058830500000112806,0.3731909000016458,0.037319090000164576,0.061296100000618026,0.4320214000017586,0,24,True,True,0.4363768999992317,72341d894d303a21a7b7385423f3ed5c4250929c5dc473e72e4685146eeb4826
E2_v2,time_aware,1018,local,dubins,dubins,dubins,weighted_delay,20,3,1708.6184552770048,17.258772275525303,19.06606537316047,18.337884390154993,95.84876323401716,189.61644409799553,73.0262949426363,3,7,6,10,0.07967349999853468,0.009631099999751314,0.0009631099999751313,0.0029990999992151046,0.089304599998286,3,0,True,True,0.09167420000085258,b1446478e076bfc668b0fcf01ad993642d88d77d4c5d19fa6b07fcb513e6b2b7
E2_v2,mission_completion,1018,local,dubins,dubins,dubins,makespan,20,3,1802.379030334892,18.205848791261534,17.655065229577293,21.879001249087935,88.11962201327546,182.03604103575714,73.0262949426363,3,7,6,10,0.060790500001530745,0.011316600001009647,0.0011316600001009646,0.005415899999206886,0.07210710000254039,3,2,True,True,0.07484029999977793,b1446478e076bfc668b0fcf01ad993642d88d77d4c5d19fa6b07fcb513e6b2b7
E2_v2,distance_oriented,1018,local,dubins,dubins,dubins,total_travel_time,20,3,6071.140970279618,61.32465626545069,63.92357801652382,63.00774438200048,177.70740302053122,104.68110807789495,73.0262949426363,1,20,20,10,0.052695000000312575,0.18150069999501284,0.018150069999501285,0.03123779999987164,0.2341956999953254,0,4,True,True,0.23807969999870693,b1446478e076bfc668b0fcf01ad993642d88d77d4c5d19fa6b07fcb513e6b2b7
