scale,strategy,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
medium,no_reorder,total_replanning_runtime,10,0.04077427999945933,0.013120361685525328,0.0364966999950411,0.0308897999857435,0.0745058000175049,0.03264219557577202,0.048906364423146644
medium,no_reorder,mean_replanning_runtime,10,0.0016309711999783199,0.0005248144674209939,0.0014598679998016001,0.0012355919994297,0.0029802320007001,0.0013056878230308393,0.0019562545769258007
medium,no_reorder,max_replanning_runtime,10,0.004564209999807599,0.0007456771285753012,0.00432250000085325,0.0037502999985008,0.0058989000026485,0.004102034527230732,0.005026385472384466
medium,no_reorder,total_algorithm_runtime,10,0.844485550000536,0.049797956282055404,0.843670549991657,0.7888142999800039,0.945329899994249,0.8136204569246701,0.875350643076402
medium,no_reorder,runner_wall_runtime,10,0.8521517900000617,0.05021713647127905,0.8510133999989193,0.7957244999997783,0.9526961000010488,0.8210268863511943,0.8832766936489291
medium,no_reorder,assignment_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,no_reorder,successor_edge_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,no_reorder,total_travel_time,10,369.08699249667035,17.586428763746888,365.7509393725875,335.3549572010244,399.31587045914273,358.18681101952944,379.98717397381125
medium,no_reorder,active_uav_count,10,5.0,0.0,5.0,5.0,5.0,5.0,5.0
medium,full,weighted_delay,10,5553.357334591161,413.1371568647069,5455.96827353962,5063.279491921068,6398.4947071435845,5297.292271850368,5809.422397331954
medium,full,weighted_mean_delay,10,20.295825834031984,1.0927401315277867,20.18068352387936,19.008034103923915,22.933672785460875,19.618538483597227,20.97311318446674
medium,full,high_priority_mean_delay,10,16.711630905361705,1.1791649640555024,16.449354021702458,15.399963405627878,18.91317942826285,15.980776888758456,17.442484921964954
medium,full,mean_delay,10,25.71217688596974,1.9749653552591366,25.784822678607906,22.19733224041172,29.183962770710032,24.488080676751416,26.936273095188064
medium,full,makespan,10,122.87500064814542,4.8999303256063484,122.32499746970929,116.4805830445484,130.7368556448636,119.8379923679563,125.91200892833453
medium,full,initial_planning_runtime,10,0.7854977699986193,0.02848953801150713,0.7880031999957282,0.7389925999959814,0.8335499999957392,0.7678397713965671,0.8031557686006715
