experiment,variant,scale,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint,run_status,initial_task_count,dynamic_task_count,total_task_count,completed_task_count,all_uavs_returned,time_consistency_pass,error_type,error_message
E5,local,medium,2000,local,dubins,dubins,dubins,weighted_delay,50,5,5317.563167257456,18.991297025919486,22.549920515106123,16.017545638929167,128.14570761635667,385.10359487910813,191.3778535141951,5,12,8,25,0.7399910000021919,0.15777790000720415,0.0063111160002881665,0.05588040000293404,0.897768900009396,5,10,True,True,0.9059274999963236,78fddf90b7b6a42ec52d011cd5043823c179f5f2bc79d835eb85d30829b86ee4,completed,25,25,50,50,True,True,,
E5,no_reorder,medium,2001,no_reorder,dubins,dubins,dubins,weighted_delay,50,5,6058.704701300088,21.793901803237727,25.510485467370348,20.168861952961628,120.275339138149,364.93013594583056,207.87694922947452,5,11,9,25,0.8201482000004034,0.030889799985743593,0.0012355919994297437,0.004507300000113901,0.851037999986147,0,0,True,True,0.8592936999993981,fe0828697d954d1952c7b0ba2e4f485747ad0bb58c6121455a721dc2467487e2,completed,25,25,50,50,True,True,,
E5,full,medium,2001,full,dubins,dubins,dubins,weighted_delay,50,5,5757.112343079925,20.709037205323472,24.42826224158712,18.913179428262854,118.26119576566671,344.0236532940097,207.87694922947452,5,11,9,25,0.7906432999952813,0.9136886000269442,0.036547544001077764,0.27905169999576174,1.7043319000222255,45,51,True,True,1.7126742000036757,fe0828697d954d1952c7b0ba2e4f485747ad0bb58c6121455a721dc2467487e2,completed,25,25,50,50,True,True,,
E5,local,medium,2001,local,dubins,dubins,dubins,weighted_delay,50,5,5957.092892810645,21.428391700757714,24.76510341797691,19.64200882437528,120.82095298724053,352.68453789811645,207.87694922947452,5,11,9,25,0.860975800002052,0.13298090000171214,0.005319236000068486,0.030145799995807465,0.9939567000037641,16,13,True,True,1.003268599997682,fe0828697d954d1952c7b0ba2e4f485747ad0bb58c6121455a721dc2467487e2,completed,25,25,50,50,True,True,,
E5,no_reorder,medium,2002,no_reorder,dubins,dubins,dubins,weighted_delay,50,5,5982.465298006849,21.365947492881602,29.712111074704676,17.032360932727077,124.83768814971154,386.44182899071825,196.9045927517407,5,11,9,25,0.8044356000027619,0.04854699999850709,0.0019418799999402837,0.00441300000238698,0.852982600001269,0,0,True,True,0.8611789999995381,2cb354e65bb1735d000802aff7cac32c0289f8ec8fd8d36dc1914901dde00ff7,completed,25,25,50,50,True,True,,
E5,full,medium,2002,full,dubins,dubins,dubins,weighted_delay,50,5,5785.688138439393,20.663171922997833,29.183962770710032,15.842471929683496,123.32170146660816,369.7455919079245,196.9045927517407,5,11,9,25,0.7918875000032131,2.613785599984112,0.10455142399936448,0.3194588000042131,3.4056730999873253,79,128,True,True,3.413560300003155,2cb354e65bb1735d000802aff7cac32c0289f8ec8fd8d36dc1914901dde00ff7,completed,25,25,50,50,True,True,,
E5,local,medium,2002,local,dubins,dubins,dubins,weighted_delay,50,5,5821.529511517134,20.791176826846907,28.17638450771523,16.830662697106018,120.94684186252715,365.683501436366,196.9045927517407,5,11,9,25,0.74029999999766,0.3332780000055209,0.013331120000220836,0.0697165000019595,1.073578000003181,15,32,True,True,1.0815803000004962,2cb354e65bb1735d000802aff7cac32c0289f8ec8fd8d36dc1914901dde00ff7,completed,25,25,50,50,True,True,,
E5,no_reorder,medium,2003,no_reorder,dubins,dubins,dubins,weighted_delay,50,5,6191.006226664773,21.274935486820524,26.434341302454804,19.769267942424218,125.89458059939261,362.7243915089423,209.93931168299304,5,12,8,25,0.781089999996766,0.040417600008368026,0.001616704000334721,0.00397510000038892,0.821507600005134,0,0,True,True,0.8290372999981628,9f80443e01aeef821a4c386e5acf97363b314efee4ff9732ebe2f062bd6cca51,completed,25,25,50,50,True,True,,
E5,full,medium,2003,full,dubins,dubins,dubins,weighted_delay,50,5,5900.989658569855,20.278314977903282,25.966940487606934,18.576549942436444,128.83665101574118,348.23020326389764,209.93931168299304,5,12,9,25,0.7563423999963561,1.6681951999853482,0.06672780799941393,0.2594057000023895,2.4245375999817043,58,81,True,True,2.4320327999957954,9f80443e01aeef821a4c386e5acf97363b314efee4ff9732ebe2f062bd6cca51,completed,25,25,50,50,True,True,,
E5,local,medium,2003,local,dubins,dubins,dubins,weighted_delay,50,5,6061.642864561777,20.830387850727757,26.673358348212286,19.511753055269573,126.38297149600166,368.9194800649819,209.93931168299304,5,11,9,25,0.7781238000025041,0.20376279998163227,0.008150511999265291,0.03598530000454048,0.9818865999841364,20,30,True,True,0.9897526999993715,9f80443e01aeef821a4c386e5acf97363b314efee4ff9732ebe2f062bd6cca51,completed,25,25,50,50,True,True,,
E5,no_reorder,medium,2004,no_reorder,dubins,dubins,dubins,weighted_delay,50,5,5568.725513604777,20.54880263322796,27.062028777780917,17.20145336581347,127.03029667872819,357.0147483227276,201.27825987228837,5,12,8,25,0.7541219999984605,0.03469229998154333,0.0013876919992617332,0.00375029999850085,0.7888142999800039,0,0,True,True,0.7957244999997783,1757208cf575b36a146991fcda820f0f9bfaba0796dc54d07ad909f6a2520902,completed,25,25,50,50,True,True,,
E5,full,medium,2004,full,dubins,dubins,dubins,weighted_delay,50,5,5403.16919877447,19.93789372241502,25.602704869608882,17.026335540430242,116.48058304454841,342.379002243037,201.27825987228837,5,12,9,25,0.7580282999988412,1.2242936999900849,0.048971747999603396,0.25706889999855775,1.982321999988926,47,53,True,True,1.989736499999708,1757208cf575b36a146991fcda820f0f9bfaba0796dc54d07ad909f6a2520902,completed,25,25,50,50,True,True,,
