experiment,variant,turning_radius,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E3,dubins_aware,5.0,1005,local,dubins,dubins,dubins,weighted_delay,20,3,1349.285129122291,14.827309111233967,19.09008821016078,12.286669663785846,65.63716236661423,134.753402549297,78.66747659875745,10,0.03831950000130746,0.015887900002780952,0.0015887900002780953,0.0037109000004420523,0.05420740000408841,2,0,True,True,0.056331600000703475,ef82aaee66b9a471651d462368c274c7e333bd14e1075ca0d3938c10036ae524
E3,euclidean_planned,5.0,1005,local,euclidean,euclidean,dubins,weighted_delay,20,3,1392.759737776362,15.305052063476506,19.723018434695,12.125633906614063,66.1782459124946,138.1721019382839,78.66747659875745,10,0.013420400000541122,0.005445699996926123,0.0005445699996926123,0.0010747999986051582,0.018866099997467245,3,3,True,True,0.020927699999447213,ef82aaee66b9a471651d462368c274c7e333bd14e1075ca0d3938c10036ae524
E3,dubins_aware,5.0,1006,local,dubins,dubins,dubins,weighted_delay,20,3,1674.8701018357929,16.260874775104785,19.580367209609467,13.194173082402289,76.56323959776991,146.39423303340809,80.55442415556645,10,0.038891999998668325,0.02694600000177161,0.002694600000177161,0.007858000000851462,0.06583800000043993,8,9,True,True,0.06810020000011718,b4e2926febc0ad1326f2924b08a3a9d34eb7d1cb94274e3df56bfec89a8849ae
E3,euclidean_planned,5.0,1006,local,euclidean,euclidean,dubins,weighted_delay,20,3,1664.2454057621032,16.157722386039836,19.296310282775234,15.131526443922168,76.40347489149863,132.05783365711557,80.55442415556645,10,0.014416799998798524,0.0055527999993501,0.00055527999993501,0.0018829000000550877,0.019969599998148624,6,5,True,True,0.022009000000252854,b4e2926febc0ad1326f2924b08a3a9d34eb7d1cb94274e3df56bfec89a8849ae
E3,dubins_aware,5.0,1007,local,dubins,dubins,dubins,weighted_delay,20,3,1664.777085959529,16.815930161207362,21.788009371449267,14.935304798410202,72.58195706173875,158.77422026184735,85.7842610780996,10,0.06526680000024498,0.04750930000045628,0.004750930000045628,0.010389600000053179,0.11277610000070126,12,18,True,True,0.11519030000090424,62e2131119659854f3f860d11b5fa601663c61a65ed7a2552a81f7ac7ca2ae13
E3,euclidean_planned,5.0,1007,local,euclidean,euclidean,dubins,weighted_delay,20,3,1733.2662654502628,17.50774005505316,22.43449966028463,15.282336278407255,74.8667169749809,169.0732164572034,85.7842610780996,10,0.016937899999902584,0.013579700000263983,0.0013579700000263984,0.003608499999245396,0.030517600000166567,13,18,True,True,0.03261779999957071,62e2131119659854f3f860d11b5fa601663c61a65ed7a2552a81f7ac7ca2ae13
E3,dubins_aware,5.0,1008,local,dubins,dubins,dubins,weighted_delay,20,3,1393.898648209706,14.82870902350751,20.542889812730838,10.854356499289798,73.32478415883642,136.9539066054676,79.08222261045597,10,0.0399727999993047,0.028275599999687984,0.002827559999968798,0.006339200001093559,0.06824839999899268,0,0,True,True,0.07065540000075998,1e77f1bda6783df1b1ea9507de00e9b4d6ed9eb5b35d2c343cc0f30845eb0a00
E3,euclidean_planned,5.0,1008,local,euclidean,euclidean,dubins,weighted_delay,20,3,1412.0165293258462,15.021452439636663,21.044607068229503,10.820273967067857,71.79465712811614,135.8235307267792,79.08222261045597,10,0.02643290000014531,0.015172900002653478,0.0015172900002653478,0.005137500000273576,0.04160580000279879,11,16,True,True,0.0440134999989823,1e77f1bda6783df1b1ea9507de00e9b4d6ed9eb5b35d2c343cc0f30845eb0a00
E3,dubins_aware,5.0,1009,local,dubins,dubins,dubins,weighted_delay,20,3,1610.1051989149123,15.33433522776107,17.206057337524193,14.166441747681942,71.62883301662757,144.45416691458684,74.35072124314618,10,0.051804400000037276,0.005845400002726819,0.000584540000272682,0.001387900001645903,0.057649800002764096,2,1,True,True,0.059392099999968195,c172adc0d1f606ddb36a63670f00c33b81d4eef1e65b4b7b01da79666fa65c68
E3,euclidean_planned,5.0,1009,local,euclidean,euclidean,dubins,weighted_delay,20,3,1660.9612100442155,15.818678190897291,17.551309407376404,14.633788563132988,69.32360844989208,143.2335379193769,74.35072124314618,10,0.012152600000263192,0.002893599998060381,0.0002893599998060381,0.0006379000005836133,0.015046199998323573,6,0,True,True,0.017208799999934854,c172adc0d1f606ddb36a63670f00c33b81d4eef1e65b4b7b01da79666fa65c68
E3,dubins_aware,5.0,1010,local,dubins,dubins,dubins,weighted_delay,20,3,2863.3979469373394,20.452842478123852,21.775904408213858,18.140668692924567,79.02209229618867,171.96733512994274,88.76461610302128,10,0.08265380000011646,0.038555699997232296,0.0038555699997232296,0.01763089999985823,0.12120949999734876,5,9,True,True,0.12337360000128683,08a08abc5976a56ede83f28f632003928e1a748a85547c6e7a07880d1f635749
E3,euclidean_planned,5.0,1010,local,euclidean,euclidean,dubins,weighted_delay,20,3,2783.4682574760795,19.88191612482914,21.136131223088665,18.47059141629468,77.98470280531492,162.91883450277544,88.76461610302128,10,0.011604100000113249,0.01295630000277015,0.0012956300002770148,0.003431500001170207,0.024560400002883398,8,14,True,True,0.026862499998969724,08a08abc5976a56ede83f28f632003928e1a748a85547c6e7a07880d1f635749
E3,dubins_aware,5.0,1011,local,dubins,dubins,dubins,weighted_delay,20,3,1488.9414892807436,15.839803077454718,19.146376201536118,11.47536713336319,69.25384685234297,139.35490940567283,79.67199630422755,10,0.037945900001432165,0.014910099996995996,0.0014910099996995995,0.006545100000948878,0.05285599999842816,5,3,True,True,0.05481519999921147,12a8b2ab00ec611c0f174eb88e433a3f38f33f6ed376ac3d6a879ff48528a668
E3,euclidean_planned,5.0,1011,local,euclidean,euclidean,dubins,weighted_delay,20,3,1488.785242240433,15.838140874898224,18.71987795456518,13.590690110750364,67.51780626464826,137.63922008958835,79.67199630422755,10,0.02766460000020743,0.004181100001005689,0.0004181100001005689,0.0020351999992271885,0.03184570000121312,2,3,True,True,0.03364800000053947,12a8b2ab00ec611c0f174eb88e433a3f38f33f6ed376ac3d6a879ff48528a668
E3,dubins_aware,5.0,1012,local,dubins,dubins,dubins,weighted_delay,20,3,1479.3531857779128,15.7377998487012,17.818721734568804,13.739077913635617,76.62937349477144,152.78191979005922,76.45062799188557,10,0.09806050000042887,0.005572900001425296,0.0005572900001425297,0.0012115999998059124,0.10363340000185417,0,0,True,True,0.10516670000106387,0664c129e8be28dd16558308ef0467c88bc96cd3e405457dc7777146d37afc99
E3,euclidean_planned,5.0,1012,local,euclidean,euclidean,dubins,weighted_delay,20,3,1419.7036550419234,15.103230372786419,16.77529348501566,12.979254656360636,75.54632000410035,142.98391953204708,76.45062799188557,10,0.012166099999376456,0.001561799999763025,0.0001561799999763025,0.0004121000001759967,0.013727899999139481,0,0,True,True,0.015532100000200444,0664c129e8be28dd16558308ef0467c88bc96cd3e405457dc7777146d37afc99
E3,dubins_aware,5.0,1013,local,dubins,dubins,dubins,weighted_delay,20,3,1777.2302367675663,16.304864557500608,18.571292050836778,14.42833195442748,68.95457531106972,128.02216862795706,76.36630151274245,10,0.05298450000009325,0.030319699997562566,0.0030319699997562568,0.011146099999677972,0.08330419999765581,10,8,True,True,0.0855093999998644,05e5271919cc473a93afe54a772baad5799a724a96552d898f570545a6d18117
E3,euclidean_planned,5.0,1013,local,euclidean,euclidean,dubins,weighted_delay,20,3,1777.2302367675663,16.304864557500608,18.571292050836778,14.42833195442748,68.95457531106972,128.02216862795706,76.36630151274245,10,0.011642299999948591,0.007027900004686671,0.0007027900004686671,0.0023919000013847835,0.018670200004635262,8,4,True,True,0.02067900000110967,05e5271919cc473a93afe54a772baad5799a724a96552d898f570545a6d18117
E3,dubins_aware,5.0,1014,local,dubins,dubins,dubins,weighted_delay,20,3,2061.966833947392,17.1830569495616,19.614821558564614,15.890630348563036,73.11349030022932,148.64735575925522,74.37231421305987,10,0.04385999999976775,0.026903899997705594,0.0026903899997705594,0.013542299999244278,0.07076389999747335,3,4,True,True,0.0726940000004106,67415e51c8eb8f5e3430d5295608692bd8630a5db2b04c04a706a214019df2dd
E3,euclidean_planned,5.0,1014,local,euclidean,euclidean,dubins,weighted_delay,20,3,2148.82307376302,17.906858948025167,19.455820439792703,17.63477498596369,71.96608297656708,147.57935392950307,74.37231421305987,10,0.015313600000808947,0.005834900000991183,0.0005834900000991183,0.001927600000271923,0.02114850000180013,2,0,True,True,0.023384899999655318,67415e51c8eb8f5e3430d5295608692bd8630a5db2b04c04a706a214019df2dd
E3,dubins_aware,5.0,1015,local,dubins,dubins,dubins,weighted_delay,20,3,1987.5008638928998,16.562507199107497,20.511158465194207,14.150352494226077,63.43846760062759,133.19020484886073,83.0371078521821,10,0.06814250000024913,0.015376000001197099,0.0015376000001197099,0.003114799999821116,0.08351850000144623,8,5,True,True,0.08555700000033539,c035e5c63041f857c18dd6cc5e87d688f4537c88d366839965fdbc51ce0b5bdf
